iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack1,attack2
1,2021-10-27 18:10:12.743237,3.479930831516774,3.048,85.9735186676476,37.56962990780644,37.56940926015247,58.75369485175266,15.02789271986231,15.027763108587596,56.48491968562387,15.027885131970562,15.027763108587596,54.8793039728308,45.083406971638624,45.08329031821844,43.29454979518358,45.083368226565106,45.08329031821844,43.18760588742681,45.083367868892466,45.08329031821844,43.16030315994952,45.083367777578815,45.08329031821844,44.51224709349487,30.055607867277534,30.055525886356644,32.14070521461463,30.055566490801837,30.055525886356644,32.63182414638786,30.055568133343307,30.055525886356644,32.995183613495804,30.055569348594755,30.055525886356644,56.35214468633006,37.569530839471014,37.56940926015247,59.050297548854516,37.5695398634114,37.56940926015247,54.429680526339055,37.56952440981234,37.56940926015247,54.27211020205309,37.56952388282025,37.56940926015247,32.97464220469769,30.055569279894254,30.055525886356644,33.00458552207053,75.13886234480617,75.1388188511235,55.04609305656645,37.56952647139676,37.56940926015247,54.43713323496719,75.13893402570886,75.1388188511235,85.98483474481618,0.0,0.0,54.36392628827813,0.0,0.0,33.00699660906458,0.0,0.0,448.1470855818883,1.0,448.1470855818883,1.0,0,0
2,2021-10-27 18:10:19.479950,3.8331109912483585,3.048,85.98531887336624,37.569629947272084,37.56940926015247,58.97746675632393,15.0278934682648,15.027763108587596,56.695081801978816,15.027885834855278,15.027763108587596,55.07785435073035,45.08340763568802,45.08329031821844,43.4553515003361,45.08336876436451,45.08329031821844,43.339314907643384,45.08336837628149,45.08329031821844,43.309789367486076,45.08336827753367,45.08329031821844,44.648620542881645,30.055608323376923,30.055525886356644,32.219791386113805,30.055566755304607,30.055525886356644,32.653921427384994,30.0555682072474,30.055525886356644,33.00227265854071,30.05556937230398,30.055525886356644,56.38501691692072,37.5695309494118,37.56940926015247,59.269761898947124,37.569540597407325,37.56940926015247,54.824934751643355,37.569525731735425,37.56940926015247,54.48354261452528,37.56952458995346,37.56940926015247,33.12693766315305,30.055569789244615,30.055525886356644,33.00675657239462,75.13886235206724,75.1388188511235,55.20144354100103,37.569526990964626,37.56940926015247,54.72542951698455,75.13893498991237,75.1388188511235,85.99653331084457,0.0,0.0,54.775425919834866,0.0,0.0,33.00699758982571,0.0,0.0,445.9691386130119,1.0,445.9691386130119,1.0,0,0
3,2021-10-27 18:10:24.811532,4.02852946580382,3.048,81.05423065910226,37.56961345530579,37.56940926015247,57.96754274551918,15.027890090585874,15.027763108587596,56.04197848087207,15.027883650558934,15.027763108587596,54.72683250927769,45.08340646169962,45.08329031821844,43.25324128450612,45.08336808840927,45.08329031821844,43.17140834257357,45.08336781471996,45.08329031821844,43.15030703290769,45.083367744146884,45.08329031821844,44.542056940098064,30.055607966976215,30.055525886356644,32.14680199571818,30.055566511192453,30.055525886356644,32.613046841335205,30.05556807054283,30.055525886356644,32.92595504982319,30.055569117060642,30.055525886356644,55.81697768158548,37.56952904961129,37.56940926015247,58.203964733985394,37.56953703286129,37.56940926015247,55.14482126892743,37.569526801592104,37.56940926015247,54.40924600982004,37.56952434146934,37.56940926015247,33.03742204119435,30.055569489860673,30.055525886356644,33.00301669912966,75.13886233955927,75.1388188511235,54.94106737222306,37.56952612013961,37.56940926015247,54.63654204430701,75.13893469262926,75.1388188511235,81.06309402476434,0.0,0.0,55.12827643954221,0.0,0.0,33.006960561377525,0.0,0.0,0.0,0.0,785.5300519556315,1.0,0,0
4,2021-10-27 18:10:30.570722,4.205116744669624,3.048,81.08024463135177,37.56961354230922,37.56940926015247,58.07596843133902,15.027890453214301,15.027763108587596,56.13948011156713,15.027883976651985,15.027763108587596,54.815164843938824,45.08340675712606,45.08329031821844,43.3224483792621,45.08336831987159,45.08329031821844,43.23647848833225,45.0833680323463,45.08329031821844,43.21434884452207,45.083367958333966,45.08329031821844,44.59911986986068,30.055608157822512,30.055525886356644,32.180221167322664,30.055566622962477,30.055525886356644,32.6235087869218,30.055568105532686,30.055525886356644,32.932324616901845,30.05556913836358,30.055525886356644,55.833185608532254,37.56952910381851,37.56940926015247,58.30709459360371,37.56953737777789,37.56940926015247,55.33738028906519,37.56952744560348,37.56940926015247,54.49875688572623,37.56952464083741,37.56940926015247,33.09479881557525,30.055569681756623,30.055525886356644,33.004161636342644,75.1388623433885,75.1388188511235,55.00098233292295,37.56952632052448,37.56940926015247,54.73042568765668,75.138935006622,75.1388188511235,81.08907124970068,0.0,0.0,55.32366660266781,0.0,0.0,33.00697189738954,0.0,0.0,0.0,0.0,783.769846973592,1.0,0,0
5,2021-10-27 18:10:36.652203,4.365690855541914,3.048,81.10429032263248,37.56961362272975,37.56940926015247,58.17588294803757,15.027890787377222,15.027763108587596,56.23016810240247,15.0278842799569,15.027763108587596,54.89810414062974,45.08340703451556,45.08329031821844,43.387459876786515,45.08336853730177,45.08329031821844,43.29754146283101,45.0833682365707,45.08329031821844,43.274432854707506,45.083368159284234,45.08329031821844,44.65271200673086,30.05560833706078,30.055525886356644,32.210635798536124,30.055566724683853,30.055525886356644,32.63295093099742,30.055568137111827,30.055525886356644,32.937986922046996,30.055569157301093,30.055525886356644,55.848555908360794,37.569529155224295,37.56940926015247,58.4021598339259,37.56953769572247,37.56940926015247,55.51173189465171,37.56952802872036,37.56940926015247,54.58367935840066,37.569524924859614,37.56940926015247,33.151052897224645,30.05556986989773,30.055525886356644,33.00497610963788,75.13886234611249,75.1388188511235,55.05806995711618,37.56952651145337,37.56940926015247,54.81722708366161,75.13893529692825,75.1388188511235,81.11308303646688,0.0,0.0,55.5002317461546,0.0,0.0,33.00697996148155,0.0,0.0,0.0,0.0,782.1428191907139,1.0,0,0
6,2021-10-27 18:10:43.547147,4.506064121579942,3.048,81.12641207811221,37.5696136967157,37.56940926015247,58.26754956493174,15.02789109395514,15.027763108587596,56.313506637775234,15.027884558681649,15.027763108587596,54.9744452357448,45.08340728983745,45.08329031821844,43.44706213065976,45.08336873664081,45.08329031821844,43.353396328829966,45.08336842337663,45.08329031821844,43.32936085890099,45.08336834299029,45.08329031821844,44.70162184137272,30.055608500639142,30.055525886356644,32.23762708284737,30.05556681495588,30.055525886356644,32.64132154257717,30.055568165107236,30.055525886356644,32.94297753606516,30.055569173992147,30.055525886356644,55.862918038537636,37.56952920325827,37.56940926015247,58.48943896834312,37.5695379876265,37.56940926015247,55.67048839053824,37.56952855967958,37.56940926015247,54.66207434017974,37.5695251870507,37.56940926015247,33.20368813662107,30.055570045935667,30.055525886356644,33.00558024985624,75.13886234813303,75.1388188511235,55.111244622298386,37.56952668929541,37.56940926015247,54.896399005894914,75.13893556171782,75.1388188511235,81.13517365313,0.0,0.0,55.66078786083888,0.0,0.0,33.006985943067875,0.0,0.0,0.0,0.0,780.6459690228461,1.0,0,0
7,2021-10-27 18:10:49.729912,4.39364853217055,3.048,80.69370157404533,44.000302036369064,44.000099047001,57.33534591291888,17.60016378902431,17.600038921400873,54.827482691807354,17.600155401505386,17.600038921400873,53.12582148421096,52.80022871545387,52.800117926535165,40.64415108565266,52.80018697065465,52.800117926535165,40.48457964498877,52.800186436969845,52.800117926535165,40.44402093606126,52.80018630132173,52.800117926535165,42.23223841845645,35.20015181081638,35.20007745535757,29.428559883056984,35.200108989064745,35.20007745535757,29.803734177009876,35.200110243830736,35.20007745535757,30.13902921467808,35.20011136522103,35.20007745535757,53.38077428046978,44.00021068860632,44.000099047001,57.52035946936751,44.00022453340009,44.000099047001,55.795062809749524,44.0002187631658,44.000099047001,52.874021189276384,44.000208993776596,44.000099047001,31.046398216650633,35.200114399905935,35.20007745535757,30.241404724187326,88.00023273370333,88.00019848144619,53.100430606684625,44.00020975100022,44.000099047001,53.10035245207487,88.00030918518401,88.00019848144619,80.70308143255414,0.0,0.0,55.80100470265092,0.0,0.0,30.241404724187333,0.0,0.0,0.0,0.0,809.9243419522601,1.0,0,0
8,2021-10-27 18:10:57.588039,4.284890854679675,3.048,80.6684636189478,44.00030195196102,44.000099047001,57.24729392900047,17.60016349453549,17.600038921400873,54.7371001215142,17.60015509922195,17.600038921400873,53.033489050424734,52.80022840664914,52.800117926535165,40.552306487934196,52.80018666348147,52.800117926535165,40.39285546885493,52.80018613019943,52.800117926535165,40.352326073429225,52.80018599464934,52.800117926535165,42.140710880578354,35.20015150470361,35.20007745535757,29.338367634473524,35.20010868741783,35.20007745535757,29.714276068142258,35.200109944639145,35.20007745535757,30.050326698538242,35.20011106855651,35.20007745535757,53.29640544695376,44.000210406435755,44.000099047001,57.43373928474062,44.000224243699904,44.000099047001,55.683003853577475,44.00021838838594,44.000099047001,52.77971916244796,44.00020867838458,44.000099047001,30.95435294585792,35.20011409206162,35.20007745535757,30.151909922249633,88.00023243438902,88.00019848144619,53.00847275392673,44.00020944344826,44.000099047001,53.00812565104418,88.00030887673257,88.00019848144619,80.67788013608562,0.0,0.0,55.68859264426368,0.0,0.0,30.151909922249644,0.0,0.0,0.0,0.0,811.6319703731722,1.0,0,0
9,2021-10-27 18:11:03.385018,4.17966466971159,3.048,80.64409758013936,44.00030187046909,44.000099047001,57.162163707486876,17.60016320981847,17.600038921400873,54.64969200980353,17.600154806886554,17.600038921400873,52.944174975732295,52.80022810793927,52.800117926535165,40.463467823207736,52.800186366361615,52.800117926535165,40.30413412629916,52.800185833471936,52.800117926535165,40.26363329128602,52.80018569801737,52.800117926535165,42.05218118450843,35.200151208617086,35.20007745535757,29.25114496263045,35.200108395702635,35.20007745535757,29.627773348543798,35.20010965533182,35.20007745535757,29.964560102811596,35.200110781711146,35.20007745535757,53.21486290952799,44.0002101337177,44.000099047001,57.349996452338225,44.00022396362299,44.000099047001,55.574580925092675,44.000218025766735,44.000099047001,52.68847452409513,44.000208373217966,44.000099047001,30.865324293085532,35.20011379430634,35.20007745535757,30.06537436789552,88.00023214497187,88.00019848144619,52.91959028206548,44.00020914618189,44.000099047001,52.918840104577036,88.00030857811811,88.00019848144619,80.6535495517425,0.0,0.0,55.57983828111942,0.0,0.0,30.065374367895526,0.0,0.0,0.0,0.0,813.2805997353003,1.0,0,0
10,2021-10-27 18:11:09.829413,4.077848570854005,3.048,80.62056933381,44.00030179177915,44.000099047001,57.079849467145195,17.600162934519467,17.600038921400873,54.56515264666019,17.60015452414565,17.600038921400873,52.85777362281188,52.80022781897097,52.800117926535165,40.37752862850745,52.80018607893899,52.800117926535165,40.21830895280847,52.80018554643066,52.800117926535165,40.17783587596483,52.80018541106894,52.800117926535165,41.96654233164834,35.20015092219896,35.20007745535757,29.166783905944047,35.20010811355807,35.20007745535757,29.544117445379154,35.200109375545644,35.20007745535757,29.88162084868432,35.200110504321785,35.20007745535757,53.136038399316504,44.00020987009006,44.000099047001,57.26902623243549,44.000223692819056,44.000099047001,55.469669025409274,44.00021767489012,44.000099047001,52.60018249616078,44.00020807792632,44.000099047001,30.779204065541684,35.20011350627825,35.20007745535757,29.9816891122483,88.00023186508753,88.00019848144619,52.83366379740881,44.00020885880177,44.000099047001,52.83240270788325,88.00030828902926,88.00019848144619,80.63005559890352,0.0,0.0,55.474615207886806,0.0,0.0,29.981689112248294,0.0,0.0,0.0,0.0,814.872539326086,1.0,0,0
