iteration,timestamp,P78,P79,T41,J20,J20D,J20B,J21,J21D,J21B,J14,J14D,J14B,J2,J2D,J2B,J13,J13D,J13B,J1,J1D,J1B,J3,J3D,J3B,J6,J6D,J6B,J15,J15D,J15B,J5,J5D,J5B,J19,J19D,J19B,T42,J4,J4D,J4B,J18,J18D,J18B,J12,J12D,J12B,J7,J7D,J7B,J8,J8D,J8B,J16,J16D,J16B,J17,J17D,J17B,J11,J11D,J11B,J10,J10D,J10B,J9,J9D,J9B,J22,J22D,J22B
1,2021-10-27 18:10:17.130474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-10-27 18:10:22.000605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0480000972747803,54.879302978515625,45.08340835571289,45.083290100097656,55.04609298706055,37.56952667236328,37.56940841674805,56.35214614868164,37.56953048706055,37.56940841674805,43.16030502319336,45.08336639404297,45.083290100097656,44.51224899291992,30.05560874938965,30.055526733398438,32.97464370727539,30.05556869506836,30.055526733398438,33.00458526611328,75.13886260986328,75.1388168334961,32.995182037353516,30.05556869506836,30.055526733398438,32.6318244934082,30.05556869506836,30.055526733398438,32.14070510864258,30.055566787719727,30.055526733398438,33.006996154785156,0.0,0.0
3,2021-10-27 18:10:27.810793,0.0,1.0,3.479930877685547,85.98483276367188,0.0,0.0,54.36392593383789,0.0,0.0,54.42967987060547,37.569522857666016,37.56940841674805,58.75369644165039,15.02789306640625,15.027763366699219,59.050296783447266,37.56953811645508,37.56940841674805,85.97351837158203,37.56962966918945,37.56940841674805,56.484920501708984,15.027885437011719,15.027763366699219,43.18760681152344,45.08336639404297,45.083290100097656,54.27210998535156,37.569522857666016,37.56940841674805,43.29454803466797,45.08336639404297,45.083290100097656,54.4371337890625,75.13893127441406,75.1388168334961,3.0480000972747803,54.879302978515625,45.08340835571289,45.083290100097656,55.04609298706055,37.56952667236328,37.56940841674805,56.35214614868164,37.56953048706055,37.56940841674805,43.16030502319336,45.08336639404297,45.083290100097656,44.51224899291992,30.05560874938965,30.055526733398438,32.97464370727539,30.05556869506836,30.055526733398438,33.00458526611328,75.13886260986328,75.1388168334961,32.995182037353516,30.05556869506836,30.055526733398438,32.6318244934082,30.05556869506836,30.055526733398438,32.14070510864258,30.055566787719727,30.055526733398438,33.006996154785156,0.0,0.0
4,2021-10-27 18:10:33.780994,0.0,1.0,3.479930877685547,85.98483276367188,0.0,0.0,54.36392593383789,0.0,0.0,54.42967987060547,37.569522857666016,37.56940841674805,58.75369644165039,15.02789306640625,15.027763366699219,59.050296783447266,37.56953811645508,37.56940841674805,85.97351837158203,37.56962966918945,37.56940841674805,56.484920501708984,15.027885437011719,15.027763366699219,43.18760681152344,45.08336639404297,45.083290100097656,54.27210998535156,37.569522857666016,37.56940841674805,43.29454803466797,45.08336639404297,45.083290100097656,54.4371337890625,75.13893127441406,75.1388168334961,3.0480000972747803,54.72683334350586,45.08340835571289,45.083290100097656,54.94106674194336,37.56952667236328,37.56940841674805,55.816978454589844,37.56953048706055,37.56940841674805,43.30978775024414,45.08336639404297,45.083290100097656,44.64862060546875,30.05560874938965,30.055526733398438,33.12693786621094,30.055570602416992,30.055526733398438,33.00675582885742,75.13886260986328,75.1388168334961,33.00227355957031,30.05556869506836,30.055526733398438,32.65392303466797,30.05556869506836,30.055526733398438,32.219791412353516,30.055566787719727,30.055526733398438,33.006996154785156,0.0,0.0
5,2021-10-27 18:10:40.668309,0.0,1.0,4.028529644012451,81.06309509277344,0.0,0.0,55.12827682495117,0.0,0.0,55.14482116699219,37.56952667236328,37.56940841674805,57.96754455566406,15.0278902053833,15.027763366699219,58.20396423339844,37.56953811645508,37.56940841674805,81.05422973632812,37.56961441040039,37.56940841674805,56.04197692871094,15.027883529663086,15.027763366699219,43.171409606933594,45.08336639404297,45.083290100097656,54.409244537353516,37.569522857666016,37.56940841674805,43.25324249267578,45.08336639404297,45.083290100097656,54.63654327392578,75.13893127441406,75.1388168334961,3.0480000972747803,54.72683334350586,45.08340835571289,45.083290100097656,54.94106674194336,37.56952667236328,37.56940841674805,55.816978454589844,37.56953048706055,37.56940841674805,43.30978775024414,45.08336639404297,45.083290100097656,44.64862060546875,30.05560874938965,30.055526733398438,33.12693786621094,30.055570602416992,30.055526733398438,33.00675582885742,75.13886260986328,75.1388168334961,33.00227355957031,30.05556869506836,30.055526733398438,32.65392303466797,30.05556869506836,30.055526733398438,32.219791412353516,30.055566787719727,30.055526733398438,33.006996154785156,0.0,0.0
6,2021-10-27 18:10:46.856688,0.0,1.0,4.028529644012451,81.06309509277344,0.0,0.0,55.12827682495117,0.0,0.0,55.14482116699219,37.56952667236328,37.56940841674805,57.96754455566406,15.0278902053833,15.027763366699219,58.20396423339844,37.56953811645508,37.56940841674805,81.05422973632812,37.56961441040039,37.56940841674805,56.04197692871094,15.027883529663086,15.027763366699219,43.171409606933594,45.08336639404297,45.083290100097656,54.409244537353516,37.569522857666016,37.56940841674805,43.25324249267578,45.08336639404297,45.083290100097656,54.63654327392578,75.13893127441406,75.1388168334961,3.0480000972747803,54.89810562133789,45.08340835571289,45.083290100097656,55.05807113647461,37.56952667236328,37.56940841674805,55.84855651855469,37.56953048706055,37.56940841674805,43.27443313598633,45.08336639404297,45.083290100097656,44.652713775634766,30.05560874938965,30.055526733398438,33.15105438232422,30.055570602416992,30.055526733398438,33.004974365234375,75.13886260986328,75.1388168334961,32.93798828125,30.05556869506836,30.055526733398438,32.63294982910156,30.05556869506836,30.055526733398438,32.210636138916016,30.055566787719727,30.055526733398438,33.006980895996094,0.0,0.0
7,2021-10-27 18:10:54.076315,0.0,1.0,4.3656907081604,81.11308288574219,0.0,0.0,55.5002326965332,0.0,0.0,55.5117301940918,37.56952667236328,37.56940841674805,58.17588424682617,15.027891159057617,15.027763366699219,58.40216064453125,37.56953811645508,37.56940841674805,81.10429382324219,37.56961441040039,37.56940841674805,56.230167388916016,15.027884483337402,15.027763366699219,43.297542572021484,45.08336639404297,45.083290100097656,54.58367919921875,37.56952667236328,37.56940841674805,43.38745880126953,45.083370208740234,45.083290100097656,54.81722640991211,75.1389389038086,75.1388168334961,3.0480000972747803,54.89810562133789,45.08340835571289,45.083290100097656,55.05807113647461,37.56952667236328,37.56940841674805,55.84855651855469,37.56953048706055,37.56940841674805,43.27443313598633,45.08336639404297,45.083290100097656,44.652713775634766,30.05560874938965,30.055526733398438,33.15105438232422,30.055570602416992,30.055526733398438,33.004974365234375,75.13886260986328,75.1388168334961,32.93798828125,30.05556869506836,30.055526733398438,32.63294982910156,30.05556869506836,30.055526733398438,32.210636138916016,30.055566787719727,30.055526733398438,33.006980895996094,0.0,0.0
8,2021-10-27 18:11:00.425235,0.0,1.0,4.3656907081604,81.11308288574219,0.0,0.0,55.5002326965332,0.0,0.0,55.5117301940918,37.56952667236328,37.56940841674805,58.17588424682617,15.027891159057617,15.027763366699219,58.40216064453125,37.56953811645508,37.56940841674805,81.10429382324219,37.56961441040039,37.56940841674805,56.230167388916016,15.027884483337402,15.027763366699219,43.297542572021484,45.08336639404297,45.083290100097656,54.58367919921875,37.56952667236328,37.56940841674805,43.38745880126953,45.083370208740234,45.083290100097656,54.81722640991211,75.1389389038086,75.1388168334961,3.0480000972747803,54.97444534301758,52.800228118896484,52.80011749267578,53.10042953491211,44.00020980834961,44.000099182128906,53.380775451660156,44.00020980834961,44.000099182128906,40.44401931762695,52.80018615722656,52.80011749267578,42.23223876953125,35.20015335083008,35.200077056884766,31.046398162841797,35.20011520385742,35.200077056884766,30.241405487060547,88.00023651123047,88.00019836425781,30.139028549194336,35.200111389160156,35.200077056884766,29.803733825683594,35.200111389160156,35.200077056884766,29.428560256958008,35.20010757446289,35.200077056884766,30.241405487060547,0.0,0.0
9,2021-10-27 18:11:06.879766,0.0,1.0,4.393648624420166,80.70307922363281,0.0,0.0,55.80100631713867,0.0,0.0,55.79506301879883,44.00021743774414,44.000099182128906,57.33534622192383,17.60016441345215,17.600038528442383,57.52035903930664,44.00022506713867,44.000099182128906,80.6937026977539,44.000301361083984,44.000099182128906,54.827484130859375,17.600154876708984,17.600038528442383,40.484580993652344,52.80018615722656,52.80011749267578,52.874019622802734,44.00020980834961,44.000099182128906,40.64414978027344,52.80018615722656,52.80011749267578,53.1003532409668,88.00031280517578,88.00019836425781,3.0480000972747803,54.97444534301758,52.800228118896484,52.80011749267578,53.10042953491211,44.00020980834961,44.000099182128906,53.380775451660156,44.00020980834961,44.000099182128906,40.44401931762695,52.80018615722656,52.80011749267578,42.23223876953125,35.20015335083008,35.200077056884766,31.046398162841797,35.20011520385742,35.200077056884766,30.241405487060547,88.00023651123047,88.00019836425781,30.139028549194336,35.200111389160156,35.200077056884766,29.803733825683594,35.200111389160156,35.200077056884766,29.428560256958008,35.20010757446289,35.200077056884766,30.241405487060547,0.0,0.0
10,2021-10-27 18:11:12.832292,0.0,1.0,4.393648624420166,80.70307922363281,0.0,0.0,55.80100631713867,0.0,0.0,55.79506301879883,44.00021743774414,44.000099182128906,57.33534622192383,17.60016441345215,17.600038528442383,57.52035903930664,44.00022506713867,44.000099182128906,80.6937026977539,44.000301361083984,44.000099182128906,54.827484130859375,17.600154876708984,17.600038528442383,40.484580993652344,52.80018615722656,52.80011749267578,52.874019622802734,44.00020980834961,44.000099182128906,40.64414978027344,52.80018615722656,52.80011749267578,53.1003532409668,88.00031280517578,88.00019836425781,3.0480000972747803,52.944175720214844,52.800228118896484,52.80011749267578,52.91958999633789,44.00020980834961,44.000099182128906,53.21486282348633,44.00020980834961,44.000099182128906,40.263633728027344,52.80018615722656,52.80011749267578,42.052181243896484,35.20014953613281,35.200077056884766,30.865324020385742,35.20011520385742,35.200077056884766,30.06537437438965,88.00022888183594,88.00019836425781,29.96455955505371,35.200111389160156,35.200077056884766,29.62777328491211,35.200111389160156,35.200077056884766,29.251144409179688,35.20010757446289,35.200077056884766,30.06537437438965,0.0,0.0
