iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack0,attack1,attack2
1,2021-11-20 16:44:01.677883,3.7663232627982746,3.436292694858328,86.09079048520407,17.3058028713059,17.305581831437724,59.86721187417132,6.922365793701663,6.922232458282421,58.08691775642385,6.922359839529013,6.922232458282421,56.59015135401113,20.766820207330746,20.76669783200171,46.07353137472679,20.76678503461944,20.76669783200171,45.71061550923095,20.76678382085161,20.76669783200171,45.64011899970811,20.76678358507687,20.76669783200171,45.79807156943704,13.844551045525689,13.844464764180028,33.089873064805374,13.84450854310589,13.844464764180028,33.08703251560067,13.844508533605703,13.844464764180028,33.48033235197427,13.844509848992363,13.844464764180028,57.15530157960644,17.305706096905016,17.305581831437724,60.09378235999977,17.305715924619278,17.305581831437724,54.53077950020272,17.305697319221917,17.305581831437724,55.217782240170074,17.30569961689447,17.305581831437724,33.91285305876207,13.844511295552758,13.844464764180028,33.068748928849416,34.6112075235367,34.61116381526027,56.08466250097891,17.305702516165262,17.305581831437724,55.504988906793145,34.61128256127631,34.61116381526027,86.10111508019827,0.0,0.0,54.347829500002014,0.0,0.0,33.01058167256286,0.0,0.0,426.4989277332529,1.0,426.4989277332529,1.0,0,0,0
2,2021-11-20 16:44:13.963432,4.446867811606948,3.83383056360212,86.11927693801837,17.305802966578504,17.305581831437724,60.3230241509832,6.922367318160439,6.922232458282421,58.56014320919905,6.922361422225951,6.922232458282421,57.07945083489744,20.76682184378708,20.76669783200171,46.558380778950834,20.766786656192544,20.76669783200171,46.19304996270247,20.766785434347945,20.76669783200171,46.12220102245642,20.766785197394498,20.76669783200171,46.27964378627017,13.844552656138282,13.844464764180028,33.49111861827857,13.844509885066902,13.844464764180028,33.481545837054284,13.844509853050848,13.844464764180028,33.86728327948634,13.844511143145168,13.844464764180028,57.52146717774334,17.305707321541533,17.305581831437724,60.540759138308424,17.305717419527834,17.305581831437724,55.229809921619974,17.305699657120908,17.305581831437724,55.74577128374728,17.30570138274759,17.305581831437724,34.41645797431533,13.84451297985345,13.844464764180028,33.457546248118916,34.61120882386474,34.61116381526027,56.55518506597245,17.30570408982242,17.305581831437724,56.03606337782901,34.611284337448616,34.61116381526027,86.12936696466483,0.0,0.0,55.06299144753908,0.0,0.0,33.395909066672786,0.0,0.0,421.23921419317827,1.0,421.23921419317827,1.0,0,0,0
3,2021-11-20 16:44:26.418536,5.094701458067849,4.241644404653819,86.14763626361011,17.305803061425934,17.305581831437724,60.76784905969322,6.922368805872092,6.922232458282421,59.02481513413827,6.922362976315715,6.922232458282421,57.56243463494255,20.766823459120697,20.76669783200171,47.04142018299997,20.766788271712127,20.76669783200171,46.67611964442658,20.76678704996879,20.76669783200171,46.6052751027383,20.766786813030055,20.76669783200171,46.76272424347446,13.844554271795165,13.844464764180028,33.904713586383984,13.84451126833039,13.844464764180028,33.88703715980699,13.844511209211788,13.844464764180028,34.265199418555376,13.844512473970997,13.844464764180028,57.8969715664042,17.305708577411526,17.305581831437724,60.978305432605616,17.305718882896247,17.305581831437724,55.89566392816064,17.30570188406177,17.305581831437724,56.266366598192455,17.30570312387247,17.305581831437724,34.928642623214294,13.844514692848959,13.844464764180028,33.85809707718277,34.611210163502264,34.61116381526027,57.02950153075548,17.305705676168238,17.305581831437724,56.56375555943002,34.611286102308874,34.61116381526027,86.15749521451144,0.0,0.0,55.7433905454342,0.0,0.0,33.79347676670688,0.0,0.0,416.0025179737861,1.0,416.0025179737861,1.0,0,0,0
4,2021-11-20 16:44:35.628825,5.591987516147027,4.582871558473831,81.86542442245344,17.30578873961901,17.305581831437724,60.05473703246404,6.922366420877339,6.922232458282421,58.633077620257886,6.922361666154226,6.922232458282421,57.46575085588785,20.76682313576294,20.76669783200171,47.137454288405806,20.766788592897058,20.76669783200171,46.87299552710992,20.766787708417855,20.76669783200171,46.81805389781278,20.766787524666224,20.76669783200171,47.00066206520883,13.8445550675754,13.844464764180028,34.25914384113345,13.84451245371819,13.844464764180028,34.25390212296889,13.844512436187324,13.844464764180028,34.52826509157901,13.844513353791033,13.844464764180028,57.66739295609138,17.305707809588576,17.305581831437724,60.219601721716806,17.305716345420645,17.305581831437724,56.48394037256901,17.30570385154539,17.305581831437724,56.540137128632054,17.305704039494774,17.305581831437724,35.160310193851025,13.844515467658415,13.844464764180028,34.24755945155724,34.61121146605458,34.61116381526027,57.06778911716782,17.305705804220615,17.305581831437724,56.76235911789585,34.61128676653613,34.61116381526027,81.87317501972863,0.0,0.0,56.390634516627266,0.0,0.0,34.201108910068726,0.0,0.0,0.0,0.0,730.6393310766812,1.0,0,0,0
5,2021-11-20 16:44:49.525888,6.0649659472383926,4.9324072723998365,81.97579715916672,17.305789108759324,17.305581831437724,60.4279507501857,6.92236766908621,6.922232458282421,59.02617422333555,6.922362980861173,6.922232458282421,57.877000194707726,20.766824511181497,20.76669783200171,47.54667839218417,20.766789961542237,20.76669783200171,47.281203079873954,20.766789073663194,20.76669783200171,47.22608891372705,20.766788889334514,20.76669783200171,47.40839762226814,13.844556431242156,13.844464764180028,34.61037534363559,13.844513628407801,13.844464764180028,34.59980801885009,13.844513593065509,13.844464764180028,34.87043747169339,13.844514498182518,13.844464764180028,57.998232518010006,17.30570891607758,17.305581831437724,60.58685197242975,17.305717573684774,17.305581831437724,56.972873258942286,17.30570548677565,17.305581831437724,56.988739362612776,17.305705539839646,17.305581831437724,35.5790575417478,13.84451686815397,13.844464764180028,34.59092407305884,34.61121261443349,34.61116381526027,57.46372628761746,17.30570712842781,17.305581831437724,57.1963869569938,34.61128821813711,34.61116381526027,81.98340166183252,0.0,0.0,56.887837870036094,0.0,0.0,34.542357226935074,0.0,0.0,0.0,0.0,723.1704237911637,1.0,1,0,0
6,2021-11-20 16:44:58.256021,6.51541165378395,5.288625396120224,82.08514243506272,17.305789474463307,17.305581831437724,60.79298337870866,6.922368889933525,6.922232458282421,59.41435828753661,6.92236427913819,6.922232458282421,58.286304185460644,20.766825880093858,20.76669783200171,47.95617045285851,20.7667913310836,20.76669783200171,47.69078963665504,20.766790443520595,20.76669783200171,47.63569149464547,20.766790259245507,20.76669783200171,47.81802801785641,13.844557801246175,13.844464764180028,34.969857270137226,13.84451483069086,13.844464764180028,34.95344081303077,13.84451477578621,13.844464764180028,35.219939864832185,13.844515667089142,13.844464764180028,58.334213377764826,17.3057100397616,17.305581831437724,60.94587605245104,17.305718774436567,17.305581831437724,57.43842807948229,17.30570704381825,17.305581831437724,57.438233292089585,17.305707043166784,17.305581831437724,35.99565227594198,13.84451826145014,13.844464764180028,34.94221061971874,34.6112137893072,34.61116381526027,57.85801719358515,17.305708447129085,17.305581831437724,57.6243619520119,34.61128964949443,34.61116381526027,82.09260346360801,0.0,0.0,57.360742800032874,0.0,0.0,34.891910275838626,0.0,0.0,0.0,0.0,715.7709592215728,1.0,1,0,0
7,2021-11-20 16:45:10.357225,7.029935388269264,5.724913500736547,82.3030893047317,13.119958610201113,13.119750238254797,61.37754360032062,5.248038274060347,5.247899887354487,60.10163310495389,5.248034006792765,5.247899887354487,59.01081324328313,15.743830479846649,15.743700008642513,48.838979279083404,15.743796460268094,15.743700008642513,48.50403076768398,15.743795340036755,15.743700008642513,48.44741541343392,15.74379515068737,15.743700008642513,48.52346123907592,10.495895055561846,10.495799659182623,35.5067085530564,10.495851521186228,10.495799659182623,35.407667432562874,10.495851189944371,10.495799659182623,35.710192975600606,10.495852201737478,10.495799659182623,58.86121917618237,13.119880209143341,13.119750238254797,61.5164484115829,13.119889089526158,13.119750238254797,57.91078951430069,13.119877030442561,13.119750238254797,58.02981301245678,13.119877428515245,13.119750238254797,36.61926096792356,10.49585524210464,10.495799659182623,35.32158173664959,26.2395518348851,26.23950059203595,58.472525460832856,13.119878909161802,13.119750238254797,58.25679337863634,26.239628541429546,26.23950059203595,82.31026811110532,0.0,0.0,57.811405493987095,0.0,0.0,35.24835763711556,0.0,0.0,0.0,0.0,701.0221014095017,1.0,1,0,0
8,2021-11-20 16:45:20.277299,7.526925496909202,6.160860068406774,82.42639889125611,13.119959022608569,13.119750238254797,61.77439641931872,5.248039601329913,5.247899887354487,60.52081464867022,5.248035408740487,5.247899887354487,59.450762793418015,15.743831951252721,15.743700008642513,49.28800531403342,15.743797962030364,15.743700008642513,48.95846642864707,15.743796859891454,15.743700008642513,48.90238701646133,15.743796672334524,15.743700008642513,48.97904924896951,10.495896579270564,10.495799659182623,35.94691384851239,10.495852993447642,10.495799659182623,35.84386202871498,10.495852648792047,10.495799659182623,36.13982285062561,10.49585363862952,10.495799659182623,59.264263761001715,13.119881557121195,13.119750238254797,61.908774030263494,13.119890401654555,13.119750238254797,58.419070445624044,13.119878730382132,13.119750238254797,58.5020143370631,13.119879007787,13.119750238254797,37.076389479730715,10.495856770965549,10.495799659182623,35.75776270333416,26.23955329368719,26.23950059203595,58.912964006902705,13.119880382203315,13.119750238254797,58.71934817714968,26.23963008843861,26.23950059203595,82.43342023955573,0.0,0.0,58.3258674185401,0.0,0.0,35.684644680960275,0.0,0.0,0.0,0.0,692.6773690303413,1.0,1,0,0
9,2021-11-20 16:45:30.323765,8.00753637941801,6.595546100114046,82.54808302020803,13.119959429579701,13.119750238254797,62.16175781584139,5.248040896855528,5.247899887354487,60.930922382584384,5.24803678034096,5.247899887354487,59.88201136196246,15.743833393558466,15.743700008642513,49.72922933786809,15.7437994376989,15.743700008642513,49.40561442944844,15.743798355372661,15.743700008642513,49.350136422850035,15.743798169827125,15.743700008642513,49.42749629050449,10.495898079096397,10.495799659182623,36.38464360351524,10.495854457429635,10.495799659182623,36.27877510220565,10.495854103353683,10.495799659182623,36.56819168342297,10.495855071304021,10.495799659182623,59.664912141247775,13.119882897084969,13.119750238254797,62.291881793314204,13.119891682953943,13.119750238254797,58.91039571890905,13.119880373613707,13.119750238254797,58.96507948483856,13.119880556502915,13.119750238254797,37.52544846995491,10.495858272838039,10.495799659182623,36.19331429305715,26.23955475038434,26.23950059203595,59.34630115670537,13.119881831494293,13.119750238254797,59.17216317352725,26.239631602873015,26.23950059203595,82.55495056031359,0.0,0.0,58.822801439701315,0.0,0.0,36.12058733795776,0.0,0.0,0.0,0.0,684.4425296050046,1.0,1,0,0
10,2021-11-20 16:45:42.572420,8.472811564456237,7.02816322124248,82.66814345285566,13.1199598311204,13.119750238254797,62.53993758882493,5.248042161673313,5.247899887354487,61.33213819686724,5.248038122202511,5.247899887354487,60.30462074362412,15.74383480697055,15.743700008642513,50.162581574333416,15.743800887040338,15.743700008642513,49.84532085321961,15.743799825965603,15.743700008642513,49.790504662489916,15.743799642633501,15.743700008642513,49.86863965755117,10.49589955449518,10.495799659182623,36.81921502819504,10.495855910848633,10.495799659182623,36.711610233815314,10.49585555096567,10.495799659182623,36.99450383574689,10.495856497099979,10.495799659182623,60.06251752406015,13.119884226871477,13.119750238254797,62.666057408501636,13.119892934379868,13.119750238254797,59.3858496315807,13.119881963763701,13.119750238254797,59.418984054485534,13.119882074581387,13.119750238254797,37.9664492042272,10.495859747759786,10.495799659182623,36.62735416208652,26.239556202025554,26.23950059203595,59.77240894066373,13.119883256606744,13.119750238254797,59.615357049589846,26.2396330851297,26.23950059203595,82.67486077255467,0.0,0.0,59.30336126310281,0.0,0.0,36.55526697201475,0.0,0.0,0.0,0.0,676.3174679981084,1.0,0,0,0
