iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack1,attack2,attack3,attack4
1,2021-11-29 02:46:15.905800,3.6326960695402475,3.2016787535304165,86.02955149073289,27.230251219557832,27.23003038450275,59.26658766944744,10.892143048845067,10.892011722206384,57.235891599680116,10.892136257206046,10.892011722206384,55.67032266084288,32.67615518491652,32.676035885943676,44.757994210196806,32.6761186887629,32.676035885943676,44.571559750758965,32.67611806523505,32.676035885943676,44.526934629877786,32.67611791598686,32.676035885943676,45.14337049369365,21.784107296343574,21.784023204637926,32.729711860028445,21.78406577900889,21.784023204637926,32.90127278468502,21.78406635279238,21.784023204637926,33.185529530528086,21.78406730348571,21.784023204637926,56.7120297535471,27.230153167452652,27.23003038450275,59.52271366400193,27.230162567751794,27.23003038450275,54.471989010015754,27.230145675662843,27.23003038450275,54.62186510374341,27.23014617692167,27.23003038450275,33.31632067496765,21.784067740915145,21.784023204637926,33.02032446783831,54.46010455510174,54.46006100878035,55.471222239407,27.23014901758658,27.23003038450275,54.84187622930742,54.460177537023874,54.46006100878035,86.04038866238005,0.0,0.0,54.34724741594074,0.0,0.0,33.01010222245386,0.0,0.0,437.80449435542783,1.0,437.80449435542783,1.0,0,0,0,0
2,2021-11-29 02:46:30.974110,4.153584262953813,3.3973030859032773,86.04960829891105,27.230251286637593,27.23003038450275,59.61240809258745,10.892144205437386,10.892011722206384,57.58269192573179,10.89213741707564,10.892011722206384,56.017992530592494,32.67615634769429,32.676035885943676,45.0459738022287,32.67611965190724,32.676035885943676,44.83795259067569,32.67611895618276,32.676035885943676,44.78859291390809,32.6761187910999,32.676035885943676,45.38964166803469,21.78410811999461,21.784023204637926,32.92642438654632,21.784066436911615,21.784023204637926,33.07018270341365,21.784066917709605,21.784023204637926,33.350437185395634,21.784067855017412,21.784023204637926,56.88876853988669,27.230153758553435,27.23003038450275,59.86231813548052,27.230163703554936,27.23003038450275,55.03038553370785,27.230147543213423,27.23003038450275,55.031864453754764,27.23014754815965,27.23003038450275,33.682449474145294,21.784068965428588,21.784023204637926,33.17742148732491,54.46010508051087,54.46006100878035,55.79145724645839,27.230150088608777,27.23003038450275,55.254728034049684,54.460178917801855,54.46006100878035,86.0602763456489,0.0,0.0,54.92871279690826,0.0,0.0,33.160844523171946,0.0,0.0,434.10196197767806,1.0,434.10196197767806,1.0,0,0,0,0
3,2021-11-29 02:46:37.650609,4.498372698852667,3.542582749601372,81.39470463688258,27.230235718367275,27.23003038450275,58.79773326731637,10.892141480767055,10.892011722206384,57.138938574536986,10.892135932947799,10.892011722206384,55.90100371023779,32.67615595642656,32.676035885943676,45.10154221772009,32.67611983775515,32.676035885943676,44.953753951218296,32.676119343479044,32.676035885943676,44.91778491523451,32.676119223181026,32.676035885943676,45.56496411382017,21.78410870635846,21.784023204637926,33.093354511929626,21.784066995207446,21.784023204637926,33.232900597479166,21.78406746191768,21.784023204637926,33.44332286428229,21.784068165672466,21.784023204637926,56.499998127366844,27.230152458315384,27.23003038450275,58.9982320650925,27.23016081362928,27.23003038450275,55.49641012984318,27.23014910182718,27.23003038450275,55.29766021519336,27.230148437110437,27.23003038450275,33.86933763767565,21.784069590473848,21.784023204637926,33.365952874385655,54.46010571105187,54.46006100878035,55.772149772592975,27.230150024035158,27.23003038450275,55.48706118759972,54.46017969483735,54.46006100878035,81.40309260555281,0.0,0.0,55.44905778638835,0.0,0.0,33.35639862836351,0.0,0.0,0.0,0.0,762.4919022973704,1.0,0,0,0,0
4,2021-11-29 02:46:44.043354,4.816198548084646,3.7052931160190528,81.46046563900087,27.230235938304165,27.23003038450275,59.033961151290654,10.892142270828424,10.892011722206384,57.37583946094109,10.892136725260015,10.892011722206384,56.138492846337265,32.67615675070617,32.676035885943676,45.31112275692178,32.67612053869479,32.676035885943676,45.154055910286495,32.67612001338657,32.676035885943676,45.115986692647674,32.67611988606453,32.676035885943676,45.7553544698848,21.784109343116757,21.784023204637926,33.25859643497142,21.784067547857106,21.784023204637926,33.38607880013264,21.78406797422037,21.784023204637926,33.59429187644,21.784068670586546,21.784023204637926,56.657484672860484,27.230152985027274,27.23003038450275,59.232616717440465,27.23016159752598,27.23003038450275,55.83450375194445,27.2301502325773,27.23003038450275,55.5594127511907,27.2301493125387,27.23003038450275,34.10188029230497,21.784070368210006,21.784023204637926,33.51348574568279,54.46010620447382,54.46006100878035,56.00031571439612,27.230150787133457,27.23003038450275,55.771228323521214,54.46018064523098,54.46006100878035,81.46876317556274,0.0,0.0,55.79377993700209,0.0,0.0,33.50170060104774,0.0,0.0,0.0,0.0,758.0420942525158,1.0,0,0,0,0
5,2021-11-29 02:46:50.565867,5.114082866742073,3.8787515356261144,81.52389152161999,27.230236150431285,27.23003038450275,59.25780836068263,10.892143019482772,10.892011722206384,57.60344058897598,10.892137486469299,10.892011722206384,56.369374675691155,32.67615752288773,32.676035885943676,45.5254582128399,32.67612125553719,32.676035885943676,45.3628022389694,32.67612071153621,32.676035885943676,45.32347476540295,32.676120580005936,32.676035885943676,45.95827773348343,21.784110021791214,21.784023204637926,33.43798582942012,21.78406814782282,21.784023204637926,33.5550193859899,21.784068539240167,21.784023204637926,33.76065142865277,21.784069226974104,21.784023204637926,56.82460964327351,27.230153543974765,27.23003038450275,59.45350937772435,27.23016233629888,27.23003038450275,56.147678279657406,27.230151279985815,27.23003038450275,55.8087522353405,27.230150146451663,27.23003038450275,34.32762252747808,21.78407112320225,21.784023204637926,33.677693128198754,54.46010675366347,54.46006100878035,56.22112774746715,27.230151525636693,27.23003038450275,56.02934023255468,54.46018150848321,54.46006100878035,81.53210226406559,0.0,0.0,56.11155973354578,0.0,0.0,33.66442578940698,0.0,0.0,753.7502663373457,1.0,0.0,0.0,0,0,0,0
6,2021-11-29 02:46:56.541055,5.395757494923438,4.05948532982952,81.5855290407426,27.23023635657724,27.23003038450275,59.472024919829366,10.892143735927524,10.892011722206384,57.82295460382708,10.89213822063133,10.892011722206384,56.59351733973192,32.676158272530216,32.676035885943676,45.738730541597214,32.67612196882398,32.676035885943676,45.5723677333515,32.67612141242553,32.676035885943676,45.53220853999189,32.676121278113584,32.676035885943676,46.16403904658015,21.784110709957492,21.784023204637926,33.62419935416938,21.78406877061175,21.784023204637926,33.73311319395116,21.784069134872805,21.784023204637926,33.936266654744514,21.784069814317153,21.784023204637926,56.997457573646344,27.230154122062622,27.23003038450275,59.66468250633102,27.230163042564914,27.23003038450275,56.44197165846961,27.230152264246545,27.23003038450275,56.048510047360395,27.230150948318833,27.23003038450275,34.548300090926915,21.78407186125575,21.784023204637926,33.85221097721976,54.46010733733635,54.46006100878035,56.43712544324181,27.230152248038436,27.23003038450275,56.273064661016114,54.46018232361668,54.46006100878035,81.5936558382228,0.0,0.0,56.40940849834332,0.0,0.0,33.83789469841415,0.0,0.0,749.5794240645746,1.0,0.0,0.0,0,0,0,0
7,2021-11-29 02:47:04.209247,6.0023728147546525,4.599605649970317,82.13869454669796,9.021018838238742,9.020811016108752,60.75327674611138,3.608460562316805,3.6083242634640653,59.517357290598035,3.608456428798783,3.6083242634640653,58.40821110703722,10.825101484499662,10.824973028691256,48.31278005985428,10.825067720449763,10.824973028691256,47.8540309202285,10.825066186168684,10.824973028691256,47.805717247972666,10.825066024584178,10.824973028691256,47.82609540002599,7.216741511542522,7.216648447495111,34.60333468272708,7.216697288175477,7.216648447495111,34.35608176554453,7.216696461241017,7.216648447495111,34.706514043906274,7.216697633257632,7.216648447495111,58.01739309046894,9.02093816483092,9.020811016108752,60.88578045403281,9.020947758118579,9.020811016108752,56.82692422006311,9.020934183321843,9.020811016108752,57.239673281695445,9.020935563756204,9.020811016108752,35.841635307411956,7.216701429657291,7.216648447495111,34.1283069560929,18.04166936360627,18.041622111650526,57.702873479314974,9.020937112923795,9.020811016108752,57.49383011262351,18.041747509322498,18.041622111650526,82.14608576678097,0.0,0.0,56.69210568032086,0.0,0.0,34.01957267266382,0.0,0.0,712.1470226106909,1.0,0.0,0.0,0,0,0,0
8,2021-11-29 02:47:11.802266,6.5917616495888485,5.1361385238664905,82.28227919047706,9.021019318455888,9.020811016108752,61.217244904676086,3.608462114052831,3.6083242634640653,60.006148013925866,3.608458063553585,3.6083242634640653,58.92061220853429,10.825103198219095,10.824973028691256,48.83884093688776,10.825069479854154,10.824973028691256,48.38984180635053,10.825067978181863,10.824973028691256,48.34261378442068,10.825067820228302,10.824973028691256,48.363732469229916,7.21674330966335,7.216648447495111,35.13920165064769,7.216699080376223,7.216648447495111,34.891317363615734,7.216698251330151,7.216648447495111,35.23327208300168,7.216699394993673,7.216648447495111,58.50693746835591,9.02093980210631,9.020811016108752,61.345220834742676,9.020949294711505,9.020811016108752,57.42646493689103,9.02093618847869,9.020811016108752,57.78663385980162,9.020937393059398,9.020811016108752,36.379170858981865,7.216703227438594,7.216648447495111,34.667080198326325,18.041671165527017,18.041622111650526,58.223493142858516,9.020938854130112,9.020811016108752,58.03322244993788,18.041749313313797,18.041622111650526,82.28948472813168,0.0,0.0,57.29865095457778,0.0,0.0,34.55967965539957,0.0,0.0,702.4303740153476,1.0,0.0,0.0,0,0,0,0
9,2021-11-29 02:47:20.920312,7.164763504546712,5.668468903160958,82.42431328416689,9.021019793487238,9.020811016108752,61.67132618469195,3.608463632722309,3.6083242634640653,60.485119635531554,3.608459665468516,3.6083242634640653,59.42324506789607,10.825104879268755,10.824973028691256,49.355576337710914,10.825071208069597,10.824973028691256,48.916609831475235,10.825069739951301,10.824973028691256,48.87047416159653,10.8250695856511,10.824973028691256,48.89235751220079,7.216745077643562,7.216648447495111,35.66944514798524,7.216700853769336,7.216648447495111,35.42213823083068,7.216700026654273,7.216648447495111,35.75572308099456,7.2167011423248635,7.216648447495111,58.99158466957354,9.02094142300315,9.020811016108752,61.795030052216774,9.020950799093121,9.020811016108752,58.00928542725453,9.020938137714936,9.020811016108752,58.32329646576297,9.020939187921146,9.020811016108752,36.90726793412301,7.216704993653025,7.216648447495111,35.20204477817361,18.041672954709735,18.041622111650526,58.73555581671665,9.020940566717675,9.020811016108752,58.56213541471689,18.041751082256965,18.041622111650526,82.43133728230015,0.0,0.0,57.887974756298384,0.0,0.0,35.096197001631886,0.0,0.0,692.8185092694414,1.0,0.0,0.0,0,0,0,0
10,2021-11-29 02:47:28.003170,7.831821461222393,6.261586061209684,86.32872797300416,9.021032851756049,9.020811016108752,63.18210434009468,3.608468685502006,3.6083242634640653,61.78644762518644,3.6084640177446072,3.6083242634640653,60.52506755454343,10.825108564301049,10.824973028691256,50.3172374393653,10.825074424333794,10.824973028691256,49.777139046163995,10.825072617981096,10.824973028691256,49.718890121319916,10.825072423168256,10.824973028691256,49.733343005584004,7.2167478903096125,7.216648447495111,36.348824965155465,7.216703125947111,7.216648447495111,36.04294652751045,7.216702102940289,7.216648447495111,36.44851344033358,7.216703459354039,7.216648447495111,60.051559774882996,9.02094496807737,9.020811016108752,63.33200584666725,9.020955939490511,9.020811016108752,58.62211876507656,9.020940187328796,9.020811016108752,59.164924006999016,9.020942002734516,9.020811016108752,37.76321899623485,7.216707856371243,7.216648447495111,35.75807745724313,18.04167481435446,18.041622111650526,59.698087950457946,9.020943785895028,9.020811016108752,59.457173938897014,18.041754075702734,18.041622111650526,86.33716925127591,0.0,0.0,58.461370982373744,0.0,0.0,35.628762057161794,0.0,0.0,382.55221963746413,1.0,382.5522196374624,1.0,0,0,0,0
