iteration,timestamp,P78,P79,T41,J20,J20D,J20B,J21,J21D,J21B,J14,J14D,J14B,J2,J2D,J2B,J13,J13D,J13B,J1,J1D,J1B,J3,J3D,J3B,J6,J6D,J6B,J15,J15D,J15B,J5,J5D,J5B,J19,J19D,J19B,T42,J4,J4D,J4B,J18,J18D,J18B,J12,J12D,J12B,J7,J7D,J7B,J8,J8D,J8B,J16,J16D,J16B,J17,J17D,J17B,J11,J11D,J11B,J10,J10D,J10B,J9,J9D,J9B,J22,J22D,J22B
1,2021-10-16 07:43:22.834725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-10-16 07:43:26.644548,1.0,1.0,3.1974406242370605,85.80368041992188,0.0,0.0,54.35068893432617,0.0,0.0,54.35982894897461,44.000213623046875,44.000099182128906,57.78810501098633,17.60016441345215,17.600038528442383,58.077667236328125,44.00022506713867,44.000099182128906,85.79159545898438,44.00032043457031,44.000099182128906,55.05458450317383,17.600156784057617,17.600038528442383,40.549224853515625,52.80018615722656,52.80011749267578,52.70784378051758,44.00020980834961,44.000099182128906,40.70343780517578,52.80018615722656,52.80011749267578,53.03046417236328,88.00030517578125,88.00019836425781,3.0480000972747803,53.163272857666016,52.800228118896484,52.80011749267578,53.219905853271484,44.00020980834961,44.000099182128906,54.077816009521484,44.000213623046875,44.000099182128906,40.509971618652344,52.80018615722656,52.80011749267578,42.305702209472656,35.20015335083008,35.200077056884766,31.083086013793945,35.20011520385742,35.200077056884766,30.504806518554688,88.00023651123047,88.00019836425781,30.46031379699707,35.200111389160156,35.200077056884766,30.063922882080078,35.200111389160156,35.200077056884766,29.618757247924805,35.200111389160156,35.200077056884766,30.504806518554688,0.0,0.0
3,2021-10-16 07:43:33.701655,1.0,1.0,3.3346991539001465,85.81946563720703,0.0,0.0,54.49252700805664,0.0,0.0,54.50112533569336,44.000213623046875,44.000099182128906,57.892478942871094,17.60016632080078,17.600038528442383,58.18013381958008,44.00022506713867,44.000099182128906,85.80743408203125,44.00032043457031,44.000099182128906,55.16413116455078,17.600156784057617,17.600038528442383,40.66317367553711,52.80018615722656,52.80011749267578,52.82664108276367,44.00020980834961,44.000099182128906,40.817378997802734,52.80018615722656,52.80011749267578,53.14809036254883,88.00031280517578,88.00019836425781,3.0480000972747803,53.27718734741211,52.800228118896484,52.80011749267578,53.332096099853516,44.00020980834961,44.000099182128906,54.178749084472656,44.000213623046875,44.000099182128906,40.62392044067383,52.80018615722656,52.80011749267578,42.41966247558594,35.20015335083008,35.200077056884766,31.1977596282959,35.20011520385742,35.200077056884766,30.614707946777344,88.00023651123047,88.00019836425781,30.5692081451416,35.200111389160156,35.200077056884766,30.17399024963379,35.200111389160156,35.200077056884766,29.730365753173828,35.200111389160156,35.200077056884766,30.614707946777344,0.0,0.0
4,2021-10-16 07:43:38.628436,1.0,1.0,3.4675142765045166,85.83477020263672,0.0,0.0,54.62977981567383,0.0,0.0,54.63787078857422,44.000213623046875,44.000099182128906,57.993492126464844,17.60016632080078,17.600038528442383,58.279300689697266,44.00022888183594,44.000099182128906,85.82279205322266,44.00032043457031,44.000099182128906,55.27012634277344,17.600156784057617,17.600038528442383,40.77337646484375,52.80018615722656,52.80011749267578,52.941524505615234,44.00020980834961,44.000099182128906,40.927581787109375,52.80018615722656,52.80011749267578,53.261817932128906,88.00031280517578,88.00019836425781,3.0480000972747803,53.38738250732422,52.800228118896484,52.80011749267578,53.44061279296875,44.00020980834961,44.000099182128906,54.2763786315918,44.000213623046875,44.000099182128906,40.734127044677734,52.80018615722656,52.80011749267578,42.529869079589844,35.20015335083008,35.200077056884766,31.308652877807617,35.20011520385742,35.200077056884766,30.720996856689453,88.00023651123047,88.00019836425781,30.674516677856445,35.200111389160156,35.200077056884766,30.280437469482422,35.200111389160156,35.200077056884766,29.838294982910156,35.200111389160156,35.200077056884766,30.720996856689453,0.0,0.0
5,2021-10-16 07:43:44.370577,1.0,1.0,3.596022367477417,85.849609375,0.0,0.0,54.76258850097656,0.0,0.0,54.77020263671875,44.000213623046875,44.000099182128906,58.09125900268555,17.60016632080078,17.600038528442383,58.37527084350586,44.00022888183594,44.000099182128906,85.83767700195312,44.00032043457031,44.000099182128906,55.3726806640625,17.600156784057617,17.600038528442383,40.87995529174805,52.80018615722656,52.80011749267578,53.0526237487793,44.00020980834961,44.000099182128906,41.03416442871094,52.80018997192383,52.80011749267578,53.37177658081055,88.00031280517578,88.00019836425781,3.0480000972747803,53.49397659301758,52.800228118896484,52.80011749267578,53.54557418823242,44.00020980834961,44.000099182128906,54.37081527709961,44.000213623046875,44.000099182128906,40.840702056884766,52.80018615722656,52.80011749267578,42.636444091796875,35.20015335083008,35.200077056884766,31.415889739990234,35.20011520385742,35.200077056884766,30.823789596557617,88.00023651123047,88.00019836425781,30.77635383605957,35.20011520385742,35.200077056884766,30.383377075195312,35.200111389160156,35.200077056884766,29.942665100097656,35.200111389160156,35.200077056884766,30.823789596557617,0.0,0.0
6,2021-10-16 07:43:49.610510,1.0,1.0,3.720355987548828,85.8639907836914,0.0,0.0,54.89109420776367,0.0,0.0,54.89825439453125,44.00021743774414,44.000099182128906,58.18587112426758,17.60016632080078,17.600038528442383,58.468143463134766,44.00022888183594,44.000099182128906,85.85210418701172,44.00032043457031,44.000099182128906,55.47189712524414,17.600156784057617,17.600038528442383,40.98302459716797,52.80018997192383,52.80011749267578,53.16005325317383,44.00020980834961,44.000099182128906,41.13724136352539,52.80018997192383,52.80011749267578,53.47808837890625,88.00031280517578,88.00019836425781,3.0480000972747803,53.59708023071289,52.80023193359375,52.80011749267578,53.6470947265625,44.00020980834961,44.000099182128906,54.462154388427734,44.000213623046875,44.000099182128906,40.94377136230469,52.80018615722656,52.80011749267578,42.739501953125,35.20015335083008,35.200077056884766,31.51958656311035,35.20011520385742,35.200077056884766,30.92319679260254,88.00023651123047,88.00019836425781,30.874834060668945,35.20011520385742,35.200077056884766,30.482925415039062,35.200111389160156,35.200077056884766,30.04359245300293,35.200111389160156,35.200077056884766,30.92319679260254,0.0,0.0
7,2021-10-16 07:43:55.650965,1.0,1.0,3.8388397693634033,85.8779296875,0.0,0.0,55.01542282104492,0.0,0.0,55.022159576416016,44.00021743774414,44.000099182128906,58.27742385864258,17.60016632080078,17.600038528442383,58.55801010131836,44.00022888183594,44.000099182128906,85.86608123779297,44.00032043457031,44.000099182128906,55.56788635253906,17.60015869140625,17.600038528442383,41.082698822021484,52.80018997192383,52.80011749267578,53.263938903808594,44.00020980834961,44.000099182128906,41.23692321777344,52.80018997192383,52.80011749267578,53.580875396728516,88.00031280517578,88.00019836425781,3.0480000972747803,53.696807861328125,52.80023193359375,52.80011749267578,53.74528121948242,44.000213623046875,44.000099182128906,54.550498962402344,44.000213623046875,44.000099182128906,41.04344177246094,52.80018997192383,52.80011749267578,42.83915710449219,35.20015335083008,35.200077056884766,31.61985969543457,35.20011520385742,35.200077056884766,31.019329071044922,88.00023651123047,88.00019836425781,30.970064163208008,35.20011520385742,35.200077056884766,30.579191207885742,35.200111389160156,35.200077056884766,30.141185760498047,35.200111389160156,35.200077056884766,31.019329071044922,0.0,0.0
8,2021-10-16 07:44:00.509648,1.0,1.0,4.157205104827881,86.00725555419922,0.0,0.0,55.134246826171875,0.0,0.0,55.17509841918945,37.501373291015625,37.50125503540039,59.1803092956543,15.000632286071777,15.00050163269043,59.464683532714844,37.50138854980469,37.50125503540039,85.99613189697266,37.5014762878418,37.50125503540039,56.891048431396484,15.000624656677246,15.00050163269043,43.48858642578125,45.001583099365234,45.00150680541992,54.68659973144531,37.50136947631836,37.50125503540039,43.613861083984375,45.001583099365234,45.00150680541992,54.9490966796875,75.00262451171875,75.00251007080078,3.057201385498047,55.26683807373047,45.001625061035156,45.00150680541992,55.34097671508789,37.501373291015625,37.50125503540039,56.415618896484375,37.50137710571289,37.50125503540039,43.456817626953125,45.001583099365234,45.00150680541992,44.77788162231445,30.00108528137207,30.00100326538086,33.27745819091797,30.001047134399414,30.00100326538086,33.007057189941406,75.00255584716797,75.00251007080078,33.00603103637695,30.001047134399414,30.00100326538086,32.67308807373047,30.00104522705078,30.00100326538086,32.29031753540039,30.00104331970215,30.00100326538086,33.00699996948242,0.0,0.0
9,2021-10-16 07:44:07.910222,1.0,1.0,4.447105407714844,86.01661682128906,0.0,0.0,55.45254898071289,0.0,0.0,55.48689651489258,37.501373291015625,37.50125503540039,59.35822296142578,15.000633239746094,15.00050163269043,59.63551330566406,37.50138854980469,37.50125503540039,86.00557708740234,37.5014762878418,37.50125503540039,57.06111145019531,15.000625610351562,15.00050163269043,43.61116027832031,45.001583099365234,45.00150680541992,54.86463928222656,37.501373291015625,37.50125503540039,43.744720458984375,45.0015869140625,45.00150680541992,55.137081146240234,75.00263214111328,75.00251007080078,3.0873992443084717,55.26683807373047,45.001625061035156,45.00150680541992,55.46467590332031,37.501373291015625,37.50125503540039,56.448455810546875,37.50137710571289,37.50125503540039,43.577388763427734,45.001583099365234,45.00150680541992,44.88749313354492,30.00108528137207,30.00100326538086,33.408321380615234,30.001047134399414,30.00100326538086,33.016727447509766,75.00255584716797,75.00251007080078,33.01671600341797,30.001047134399414,30.00100326538086,32.695621490478516,30.00104522705078,30.00100326538086,32.349586486816406,30.00104331970215,30.00100326538086,33.016204833984375,0.0,0.0
10,2021-10-16 07:44:13.160391,1.0,1.0,4.713589191436768,86.0256118774414,0.0,0.0,55.742401123046875,0.0,0.0,55.771785736083984,37.501373291015625,37.50125503540039,59.524139404296875,15.00063419342041,15.00050163269043,59.79524612426758,37.50138854980469,37.50125503540039,86.0146484375,37.5014762878418,37.50125503540039,57.22092819213867,15.000625610351562,15.00050163269043,43.73054504394531,45.0015869140625,45.00150680541992,55.0322380065918,37.501373291015625,37.50125503540039,43.87137985229492,45.0015869140625,45.00150680541992,55.31001663208008,75.00263214111328,75.00251007080078,3.133840560913086,55.584800720214844,45.001625061035156,45.00150680541992,55.58795166015625,37.501373291015625,37.50125503540039,56.496421813964844,37.50137710571289,37.50125503540039,43.69501876831055,45.001583099365234,45.00150680541992,44.995811462402344,30.001087188720703,30.00100326538086,33.5362434387207,30.001047134399414,30.00100326538086,33.04756546020508,75.00255584716797,75.00251007080078,33.0479736328125,30.001047134399414,30.00100326538086,32.73602294921875,30.00104522705078,30.00100326538086,32.349586486816406,30.00104331970215,30.00100326538086,33.016204833984375,0.0,0.0
